Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
Love The Way You Lie,538 Hitzone 55,Eminem,2010-01-01 00:00:00,784,54.7,1532052160,236943,76167038,79.0,1
Party,Un Verano Sin Ti,Bad Bunny,2022-06-05 00:00:00,789,54.7,725076772,83311,29009374,72.0,0
Make You Mine,Make You Mine,Madison Beer,2024-09-02 00:00:00,786,54.7,127909006,13354,49984859,0.0,0
Freaks,Freaks,Surf Curse,Unknown,791,54.6,1089328286,200016,33498182,77.0,0
In Da Getto,In Da Getto,J Balvin,2021-02-07 00:00:00,792,54.6,484375103,133279,27602101,61.0,0
Chale,Chale - Single,Eden Mu  ,Unknown,794,54.5,414104069,33044,18247093,67.0,0
Try That In A Small Town,Try That In A Small Town,Jason Aldean,Unknown,793,54.5,66418201,20547,1758957,37.0,1
Tarot,Un Verano Sin Ti,Bad Bunny,2022-06-05 00:00:00,796,54.3,742515730,93128,28604664,73.0,1
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,Unknown,795,54.3,24963236,5624,1097527,48.0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc ,2024-09-02 00:00:00,798,54.3,425058273,2563,11967164,0.0,0
Petit g  ,Petit g  ,Jungeli,2023-04-08 00:00:00,797,54.3,159181956,29011,10943796,74.0,1
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2023-04-02 00:00:00,801,54.2,125047,6,44905,14.0,0
   ,Show - Single,Ado,2023-06-09 00:00:00,800,54.2,114381380,15725,4390255,67.0,0
Breaking the Habit,Papercuts,Linkin Park,2024-12-04 00:00:00,802,54.2,428629823,2,454,0.0,0
Work,ANTI (Deluxe),Rihanna,Unknown,799,54.2,1399521364,144823,46076265,73.0,1
Normal,Normal,Feid,2022-08-07 00:00:00,804,54.1,724772954,76821,31039211,76.0,1
LALALALA,ROCK-STAR,Stray Kids,2023-10-11 00:00:00,803,54.1,154592041,10814,10289612,0.0,0
Sum 2 Prove,Sum 2 Prove,Lil Baby,2020-10-01 00:00:00,807,54.0,444934033,141088,17349295,66.0,1
Lottery (Renegade),Lottery,K CAMP,2019-01-04 00:00:00,808,54.0,173526912,28272,6607554,46.0,1
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-11-08 00:00:00,805,54.0,1382191196,119969,51471665,66.0,0
Good Days,Good Days,SZA,Unknown,806,54.0,1105805922,164541,62561721,77.0,1
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,Unknown,810,53.9,844630935,94185,54080564,74.0,0
Youngblood,Youngblood,5 Seconds of Summer,2018-12-04 00:00:00,811,53.9,1790579305,180069,75602805,76.0,0
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01 00:00:00,809,53.9,2916412507,415650,149359220,85.0,0
Merayu Tuhan,Merayu Tuhan,Tri Suaka,Unknown,813,53.8,8517888,506,74157,43.0,0
If We Being R  ,2093,Yeat,Unknown,812,53.8,92517121,10195,13681051,80.0,1
Can We Kiss Forever?,Can We Kiss Forever?,Kina,Unknown,815,53.7,634493511,89559,32092279,66.0,0
Felices los 4,Felices los 4,Maluma,Unknown,814,53.7,932817713,73487,24333265,68.0,0
Mariposita,Mariposita,La Vaca Lola,2021-04-03 00:00:00,820,53.6,0,0,0,0.0,0
Relaci ,Relaci ,Sech,2020-02-04 00:00:00,821,53.6,468900803,62750,12074538,60.0,0
ELOVRGA,Elovrga - Single,Alex Favela,Unknown,819,53.6,333899135,24862,20963358,75.0,1
Party Girl,Party Girl,StaySolidRocky,Unknown,816,53.6,730440576,115574,16306099,67.0,0
I Feel It Coming,I Feel It Coming,The Weeknd,Unknown,817,53.6,1749088490,193568,52373071,72.0,0
Get In With Me,Get In With Me - Single,Bossman Dlow,Unknown,818,53.6,39401314,7442,18628678,0.0,1
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,2020-09-07 00:00:00,822,53.5,391856304,68311,11888692,58.0,0
Human,Human,Rag'n'Bone Man,Unknown,824,53.4,1013083048,170367,49113191,74.0,0
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,2024-12-04 00:00:00,823,53.4,64193671,9077,15569468,0.0,1
snowfall,Snowfall - Single,  neheart,Unknown,828,53.3,652949750,72344,19014919,79.0,0
First Love,First Love - Single,Oscar Maydon,2023-07-12 00:00:00,825,53.3,230291754,11519,61076412,78.0,0
La_Original.mp3,La_Original.mp3,Emilia,2023-02-11 00:00:00,829,53.3,184441175,17845,26300966,73.0,0
OA,OA,Anuel AA,Unknown,827,53.3,178950943,29895,35946086,80.0,1
Pagod  o do Birimbola (Tchubirabi,Pagod  o do Birimbola (Tchubirabi,Os Quebradeiras,2022-11-11 00:00:00,830,53.3,54513960,13089,4241209,52.0,0
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,Unknown,826,53.3,574505748,47463,17801611,58.0,0
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,2024-01-04 00:00:00,832,53.2,75894056,2524,11857367,84.0,0
one of wun,One of Wun,Gunna,2024-10-05 00:00:00,831,53.2,58469975,7073,108431155,82.0,1
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-01-12 00:00:00,838,53.1,200151839,32776,133835796,82.0,0
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2023-05-02 00:00:00,837,53.1,377174503,100095,41254482,71.0,1
MIDDLE CHILD,MIDDLE CHILD,J. Cole,Unknown,836,53.1,1285518117,221749,47461150,74.0,1
TO THE MOON,TO THE MOON,JNR CHOI,2021-05-11 00:00:00,834,53.1,274647899,96137,14188085,60.0,1
Fancy Like,Country Stuff,Walker Hayes,2021-04-06 00:00:00,835,53.1,328697441,56746,6878594,66.0,0
The Color Violet,Alone At Prom,Tory Lanez,2021-10-12 00:00:00,833,53.1,806918358,152298,19863721,79.0,0
S91,S91,KAROL G,Unknown,840,53.0,240161044,22270,15087485,64.0,0
LALISA,LALISA,LISA,2021-10-09 00:00:00,839,53.0,502655066,33286,15876032,73.0,0
Levitating,Future Nostalgia,Dua Lipa,Unknown,841,52.9,946842175,145601,34376048,73.0,0
RUBICON,G  N,Peso Pluma,Unknown,844,52.9,246224964,23436,13507680,73.0,1
Gimme Love,Gimme Love,Sia,Unknown,843,52.9,105947434,11648,11690122,6.0,0
Diz A   Qual    ,Diz A   Qual    ,Mc IG,2024-07-03 00:00:00,842,52.9,71944011,5329,22615957,67.0,1
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,Unknown,848,52.8,114992281,3618,12001774,75.0,0
Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,Unknown,849,52.8,123276250,8330,3632731,0.0,0
Demons,Continued Silence - EP,Imagine Dragons,2012-01-01 00:00:00,847,52.8,2270796677,263640,71470111,80.0,0
Supalonely,STELLA & STEVE,BENEE,Unknown,845,52.8,738407486,111662,26764629,62.0,1
Lean On (feat. M   & DJ Sn,Full Circle: The Live Anthology,Major Lazer,Unknown,846,52.8,2080878370,242511,79506771,76.0,1
Spin Bout U,Her Loss,Drake,2022-04-11 00:00:00,856,52.6,356685934,88034,16963292,71.0,1
From The Start,From The Start - Single,Laufey,2023-11-05 00:00:00,855,52.6,368256958,53922,25450036,73.0,0
ZOOM,ZOOM,Jessi,Unknown,850,52.6,166161044,22288,7774873,61.0,0
Can't Feel My Face,Your Songs 2015,The Weeknd,2015-02-03 00:00:00,851,52.6,1747534539,212829,101243254,76.0,0
Qu   Onda Per,Qu   Onda Per,Grupo Firme,Unknown,852,52.6,213405904,17694,13723182,70.0,0
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,2011-01-01 00:00:00,853,52.6,436722440,107912,33797077,62.0,0
WHATS POPPIN,WHATS POPPIN,Jack Harlow,Unknown,854,52.6,819779577,161131,28874159,70.0,1
POR EL CONTRARIO,ESQUINAS,Becky G,Unknown,857,52.5,131938548,5913,9167049,75.0,0
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,Unknown,859,52.4,1648192461,15,52,0.0,1
Rara Vez,Rara Vez,Taiu,2023-08-02 00:00:00,860,52.4,544165928,58646,20499657,77.0,0
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,Unknown,858,52.4,269491606,26075,16176936,66.0,0
Espresso,Espresso,Sabrina Carpenter,2024-11-04 00:00:00,861,52.4,536986458,637,1907453,0.0,0
Who   s Afraid of Little O,THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,862,52.3,166168092,5004,25607992,78.0,0
THE LONELIEST,THE LONELIEST,M  ne,2022-07-10 00:00:00,865,52.2,330593989,54823,16021571,67.0,0
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2024-08-02 00:00:00,864,52.2,89513100,8049,60410593,75.0,1
Nunca Es Suficiente,Nunca Es Suficiente,Los   ngeles Az,Unknown,863,52.2,478494818,53736,20478756,67.0,0
MANIKIN (feat. Wifisfuneral),ItWasntEnough - EP,XXXTENTACION,2023-08-09 00:00:00,868,52.1,4306793,4668,412676,0.0,1
Copines,Copines,Aya Nakamura,Unknown,867,52.1,381322519,70125,7759068,67.0,0
Thank God,Different Man,Kane Brown,2022-09-09 00:00:00,866,52.1,157341967,20612,11359519,67.0,0
TQM,TQM - Single,Fuerza Regida,Unknown,869,51.8,497682165,40368,24948673,70.0,1
Lily,Different World,Alan Walker,Unknown,870,51.8,403860053,45516,8731552,66.0,0
Massive,"Honestly, Nevermind",Drake,Unknown,873,51.7,253114498,111173,20965015,65.0,0
a lot,i am > i was,21 Savage,Unknown,872,51.7,949835159,219301,32815164,73.0,1
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,Unknown,871,51.7,711861577,84611,28656289,69.0,0
Tek Ba  ,Tek Ba    ma ,Semicenk,2024-03-05 00:00:00,875,51.6,21803486,1250,4918007,72.0,0
BAND4BAND,BAND4BAND (Official Video),Central Cee,2024-06-06 00:00:00,874,51.6,86144467,1,24,0.0,1
Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,Unknown,876,51.6,1152346128,93178,62880711,75.0,0
WOKE UP,WOKE UP,XG,Unknown,877,51.5,16684393,1247,25606219,74.0,0
Toki,Toki,Casper Magico,2024-02-05 00:00:00,878,51.5,13741023,2062,5740990,72.0,0
Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,2017-01-01 00:00:00,881,51.4,1527159800,187813,83108168,76.0,0
El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,Unknown,880,51.4,15557247,446,37375496,73.0,0
ALV,"Sentimiento, Elegancia y M  s Ma",Arc  ,Unknown,882,51.4,118490212,10053,10075643,72.0,0
In A Minute,In A Minute,Lil Baby,2022-07-04 00:00:00,879,51.4,171118535,81407,13177118,57.0,1
Save Your Tears (with Ariana Grande) (Remix),After Hours (Deluxe),The Weeknd,Unknown,884,51.4,1549317525,178149,71174158,73.0,0
No Se Vale,un,Camilo,2024-07-02 00:00:00,883,51.4,19388370,1341,7152408,0.0,0
Jerusalema (feat. Nomcebo Zikode),Jerusalem,Master KG,Unknown,885,51.3,406132477,110858,13496585,66.0,0
DENTRO DA HILUX,DENTRO DA HILUX - Single,Luan Pereira,Unknown,888,51.2,178699480,14552,18055636,24.0,0
Funk do Patinho,Funk do Patinho,Bento e Tot ,Unknown,887,51.2,16197748,1827,221916,55.0,0
El Amor de Mi Vida,El Amor de Mi Vida,Los   ngeles Az,Unknown,886,51.2,130709283,12585,10844674,64.0,0
Blueberry Faygo,Certified Hitmaker,Lil Mosey,2019-08-11 00:00:00,889,51.2,1295251940,197036,39104125,67.0,1
Jiggle Jiggle,Jiggle Jiggle,Duke & Jones,Unknown,891,51.2,121214716,37436,6111674,56.0,0
En la Intimidad,En la Intimidad,Big One,2023-01-02 00:00:00,890,51.2,210712407,24033,7343818,65.0,0
Counting Stars,Native (Standard),OneRepublic,2013-01-01 00:00:00,892,51.1,2466006842,343135,114346295,81.0,0
Essence (feat. Tems),Essence (feat. Tems),Wizkid,Unknown,893,51.0,242254880,85783,13563028,66.0,0
Get Into It (Yuh),Planet Her,Doja Cat,Unknown,895,51.0,603196133,97704,24305145,68.0,1
RAVE,RAVE,Dxrk    ,Unknown,894,51.0,415552038,104372,42500205,71.0,0
No Me Conoce,No Me Conoce,Jhay Cortez,Unknown,896,51.0,49585127,9710,1428548,47.0,0
offline,att.,Young Miko,2024-05-04 00:00:00,900,50.9,109149345,8869,89312461,82.0,1
TOPIA TWINS,UTOPIA,Travis Scott,Unknown,898,50.9,196369387,70723,12274321,74.0,1
Janze,Janze,Xamdam Sobirov,Unknown,899,50.9,344691,77,5871,30.0,0
"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",Neha Kakkar,Unknown,897,50.9,144985656,15143,5892217,57.0,0
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-05-10 00:00:00,901,50.9,1269760706,137601,32384233,76.0,0
Monoton ,Monoton ,Shakira,Unknown,903,50.8,498744348,50326,35586221,67.0,0
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,Unknown,902,50.8,716453,22,36989,1.0,0
Thought You Should Know,Thought You Should Know,Morgan Wallen,2022-06-05 00:00:00,906,50.7,340227841,40523,6267614,73.0,1
CAIRO,CAIRO,KAROL G,Unknown,904,50.7,443093379,35995,21160001,72.0,1
Cupido,Cupido,TINI,Unknown,905,50.7,358240136,35751,23674275,70.0,0
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,Pawan Singh,Unknown,909,50.6,4283,1,3,0.0,0
Out th  ,Lyf ,Yeat,2022-09-09 00:00:00,907,50.6,338097605,85480,16509403,73.0,1
Winning Speech,Winning Speech,Karan Aujla,Unknown,910,50.6,17917738,938,5754144,73.0,0
Home,Home - Single,Good Neighbours,Unknown,911,50.6,205068203,19044,62137392,0.0,0
Sobrio,Sobrio,Maluma,2021-08-07 00:00:00,908,50.6,600199930,66655,24281295,64.0,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-02-06 00:00:00,913,50.5,247682011,67166,13150883,72.0,0
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,Unknown,916,50.5,1244981489,295646,48300175,78.0,1
Se Acab   la Cuaren,Viva el Perreo,Jowell & Randy,2020-06-08 00:00:00,915,50.5,73468394,23284,4240574,51.0,1
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,2018-07-12 00:00:00,912,50.5,769061748,136145,21910460,73.0,1
End of Beginning,DECIDE,Djo,Unknown,918,50.5,710784872,64517,191969474,90.0,0
K-POP,K-POP (Chopped & Screwed),Travis Scott,Unknown,917,50.5,285481590,62715,24530922,68.0,1
favorite,favorite - EP,Isabel LaRosa,Unknown,919,50.5,123802404,7364,40769771,82.0,0
You & Me,JENNIE Special Single [You & Me],JENNIE,2023-06-10 00:00:00,914,50.5,183134509,12210,12194109,0.0,0
Tattoo,Tattoo,Rauw Alejandro,Unknown,922,50.4,341742937,53836,9757013,58.0,0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,2010-01-01 00:00:00,921,50.4,829352129,159324,36048887,61.0,0
LA RANGER (feat. Myke Towers),The Academy: Segunda Misi ,The Academy: Segunda Misi ,Unknown,920,50.4,79786203,8939,75931694,76.0,1
no tears left to cry,No Tears Left To Cry,Ariana Grande,Unknown,923,50.2,1331371819,100503,36840744,71.0,0
I Fck Up,I Fck Up - Single,Prince Ayaya,Unknown,924,50.1,0,44,223,0.0,1
Upside Down,Upside Down,JVKE,Unknown,925,50.1,121391098,28044,6194695,54.0,0
Crawling,Papercuts,Linkin Park,2024-12-04 00:00:00,927,50.1,570290910,174,525584,0.0,0
Nosso Quadro,AgroPlay Ver  o V,AgroPlay,2023-02-02 00:00:00,926,50.1,423018422,23872,16779061,63.0,0
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,Unknown,929,50.0,33245898,2343,69471936,78.0,1
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,Unknown,930,50.0,86295058,7591,3058131,55.0,0
Pure Cocaine,Street Gossip,Lil Baby,Unknown,928,50.0,652559944,170734,17463888,74.0,1
Espresso,Espresso,Sabrina Carpenter,2024-12-04 00:00:00,933,49.9,536986458,1,2,0.0,1
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,Unknown,932,49.9,142512477,23828,9380794,72.0,0
Coraz  n Roto - R,Coraz  n Roto (Re,Brray,2023-07-04 00:00:00,931,49.9,203212015,36459,13719365,67.0,1
Summer,Todo Exitos 2014 (Los N  mero 1 Del A,Calvin Harris,2014-01-01 00:00:00,935,49.8,1497564072,255037,105180321,81.0,0
Murder On My Mind,Murder On My Mind,YNW Melly,2018-01-06 00:00:00,934,49.8,1055558326,208777,21077896,72.0,1
You Are The Reason,You Are The Reason,Calum Scott,Unknown,937,49.8,1042531612,119883,31204776,73.0,0
Bad Liar,Bad Liar,Imagine Dragons,2018-06-11 00:00:00,938,49.8,1056929910,134812,31112950,74.0,0
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,2023-06-10 00:00:00,936,49.8,165347464,21942,13799115,0.0,1
ROXANNE,ROXANNE,Arizona Zervas,2019-10-10 00:00:00,939,49.7,1474968552,170595,31145335,68.0,1
Softly,Making Memories,Karan Aujla,Unknown,941,49.6,150073848,12340,8409772,71.0,0
Tacones Rojos,Tacones Rojos,Sebastian Yatra,Unknown,940,49.6,641756842,80542,23090494,68.0,0
Ride the Vibe,Ride the Vibe,NEXZ,Unknown,942,49.6,899456,147,2784044,46.0,0
family ties,family ties - Single,Baby Keem,Unknown,945,49.5,786298066,204148,57623622,77.0,1
"Perdonarte,   Para Q","Perdonarte,   Para Q",Los   ngeles Az,Unknown,943,49.5,19514243,1329,42180412,75.0,0
Whatever It Takes,Whatever It Takes,Imagine Dragons,2017-09-05 00:00:00,944,49.5,1257258072,156442,33271283,76.0,0
POP!,IM NAYEON,NAYEON,Unknown,946,49.4,296828933,25748,12535016,69.0,0
Into the Unknown,New Horizons,ALPHA 9,Unknown,948,49.4,78985,67,5674,9.0,0
Lonely At The Top,Work Of Art,Asake,Unknown,947,49.4,84655991,13107,7678884,69.0,0
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,2023-06-06 00:00:00,949,49.3,242661037,43999,9893510,74.0,1
Si Se Da,Si Se Da,Myke Towers,Unknown,952,49.3,317223968,47247,7578697,54.0,1
Holy (feat. Chance The Rapper),Holy,Justin Bieber,Unknown,950,49.3,787546548,110389,44478175,63.0,0
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-09-12 00:00:00,955,49.3,2235160830,403355,73668045,81.0,1
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,Unknown,954,49.3,1456894713,141677,49274720,71.0,0
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,Unknown,951,49.3,1060378159,104647,55948663,68.0,0
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,Unknown,953,49.3,118804209,57036,35240391,71.0,0
10:35,10:35,Ti  ,2022-03-11 00:00:00,958,49.2,539802784,82093,99413749,74.0,0
One Right Now (with The Weeknd),One Right Now,Post Malone,2021-05-11 00:00:00,963,49.2,631789333,99512,27179361,65.0,1
A Thousand Years,A Thousand Years,Christina Perri,Unknown,964,49.2,1654956613,177834,80060384,77.0,0
Secreto,Secreto,Anuel AA,Unknown,957,49.2,759388276,68502,18835572,65.0,0
Toda Remix - Remix,Toda (Remix),Alex Rose,2018-01-06 00:00:00,959,49.2,482021697,68578,13363939,66.0,1
I Hate U,I Hate U - Single,SZA,2021-03-12 00:00:00,956,49.2,456871037,71261,34724014,66.0,1
Better Now,beerbongs & bentleys,Post Malone,Unknown,962,49.2,1953403531,239092,47844195,74.0,1
Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01 00:00:00,960,49.2,1394048309,211162,114187117,77.0,0
Pobre Coraz ,Pobre Coraz  n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,2023-02-03 00:00:00,965,49.2,187127704,18938,5235073,65.0,0
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2019-01-02 00:00:00,966,49.2,995452298,188608,44047615,65.0,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,Unknown,961,49.2,203379355,14067,8370027,63.0,0
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,2023-11-10 00:00:00,967,49.1,140356426,9363,5604254,0.0,0
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,Unknown,968,49.1,257167813,38896,13810240,55.0,1
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,2023-03-10 00:00:00,970,49.0,181516735,25092,10823656,0.0,0
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2024-01-02 00:00:00,972,49.0,21167612,1285,2035557,0.0,0
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,Unknown,973,49.0,582023797,48881,17367502,70.0,0
Aesthetic,Aesthetic,Xilo,Unknown,969,49.0,27312761,9048,2060708,38.0,1
get him back!,GUTS,Olivia Rodrigo,2023-08-09 00:00:00,971,49.0,287724574,25460,15517447,0.0,1
LA PEOPLE II,LA PEOPLE II,Peso Pluma,Unknown,978,48.9,123243341,5069,34480158,79.0,1
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,2024-12-04 00:00:00,974,48.9,562814594,17,25810,0.0,0
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,975,48.9,150693008,3273,15710281,0.0,1
Your Love (9PM),Your Love (9PM),ATB,Unknown,976,48.9,721002104,146298,62920572,71.0,0
One Side,One Side,Iyanya,Unknown,977,48.9,23823099,10859,859682,53.0,0
HEAT STICK,HEAT STICK,Shoreline Mafia,2024-10-05 00:00:00,979,48.8,20538101,3675,33607850,74.0,1
Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01 00:00:00,980,48.8,2525355904,208671,121163411,77.0,0
Virginia Beach,For All The Dogs,Drake,2023-06-10 00:00:00,981,48.8,165204421,38562,6636362,0.0,1
Great Gatsby,Nostalgia,Rod Wave,Unknown,982,48.7,66813186,11024,4487030,0.0,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sof  a R,Unknown,983,48.7,667508675,78737,29292148,61.0,0
Ate  e D  ,Ate  e D  ,Mert Demir,Unknown,984,48.7,98395711,14727,3591657,0.0,0
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,Unknown,986,48.6,1020452066,108274,75934462,79.0,0
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-05-03 00:00:00,985,48.6,793287638,225513,37094631,71.0,1
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,Unknown,987,48.4,229120157,11931,7972917,69.0,0
Coco Chanel,3MEN2 KBRN,Eladio Carrion,Unknown,988,48.4,459282058,67717,32043186,72.0,1
Calm Down Baby,Calm Down Baby - Single,DJ Laxman,2024-12-01 00:00:00,989,48.4,1389772733,1,1,0.0,0
At My Worst,The Prelude,Pink Sweat$,Unknown,991,48.3,670245273,83819,24550707,64.0,0
TOO MUCH,TOO MUCH,The Kid LAROI,Unknown,990,48.3,137894955,20037,20683852,0.0,1
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,Unknown,993,48.2,218431985,56998,7122424,61.0,0
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,2023-07-06 00:00:00,"1,103",48.2,1611084670,0,0,0.0,1
Miles On It,Miles on It,Marshmello,2024-03-05 00:00:00,992,48.2,41924126,3794,124369916,79.0,0
El Caballito,El Caballito - Single,FARIANA,2024-07-06 00:00:00,994,48.2,184278,74,5010610,42.0,1
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,Unknown,995,48.1,2284977,1425,11819359,22.0,1
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,Unknown,996,48.1,157806193,27840,14490602,64.0,1
Se Prepar ,Se Prepar ,Ozuna,2017-10-08 00:00:00,997,48.1,846909112,81897,37257314,73.0,0
Lost on You,Lost On You,LP,Unknown,998,48.1,837042727,127522,22902207,70.0,0
Le ,Le  o - Si,Mar  lia Mendo,2022-08-12 00:00:00,999,48.0,415752953,20588,32327663,66.0,0
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023-12-07 00:00:00,"1,005",47.9,159909273,7624,11285253,64.0,0
Lean Wit Me,Lean Wit Me,Juice WRLD,Unknown,"1,001",47.9,880781313,137341,29154307,72.0,1
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,Unknown,"1,002",47.9,399707517,131547,25873871,69.0,1
"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"") - Single",Diljit Dosanjh,Unknown,"1,006",47.9,16264473,552,6584623,0.0,0
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,Unknown,"1,004",47.9,408449,38,1747,12.0,0
LEATHER,LEATHER,MAKAELA,Unknown,"1,000",47.9,1696,0,0,0.0,1
Panini,Panini,Lil Nas X,Unknown,"1,003",47.9,741766886,96241,16599790,62.0,0
She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-08-04 00:00:00,"1,007",47.9,244709550,33533,14159174,69.0,0
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,"1,008",47.8,175613480,4454,20883678,84.0,0
good 4 u,good 4 u,Olivia Rodrigo,Unknown,"1,009",47.8,2167768056,12805,3065794,54.0,0
bad idea right?,bad idea right?,Olivia Rodrigo,2023-11-08 00:00:00,"1,012",47.7,433515672,37313,23894665,12.0,1
"Ay, DiOs M  ","Ay, DiOs M  ",KAROL G,2020-10-07 00:00:00,"1,016",47.7,599215039,57051,16707832,61.0,0
happier,SOUR,Olivia Rodrigo,Unknown,"1,015",47.7,1133535049,116055,29173011,79.0,1
Lalala,Lalala,Y2K,Unknown,"1,010",47.7,968133091,142494,16656325,66.0,1
ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,Unknown,"1,011",47.7,62097485,16027,7986146,0.0,0
                     ,                     ,HoneyWorks,Unknown,"1,014",47.7,23191929,5912,438018,51.0,0
Tubar  o Te,Tubar  o Te,Dj LK da Esc  ,Unknown,"1,013",47.7,150177750,30142,13282269,59.0,1
Chichiquetere,Chichiquetere,HCTM,2022-06-08 00:00:00,"1,017",47.6,1858478,581,37113,28.0,0
